month,division_name,total_employees,total_records,avg_weekly_work_hours,avg_weekly_claimed_hours,avg_efficiency_percent,avg_confidence_percent,total_monthly_work_hours,total_monthly_claimed_hours
2025-07,"Plant 4A 정제그룹",238,3647,47.22,50.55,92.64,5015.9,34441.25,36872.12
2025-07,"Plant 3 정제그룹",229,3640,49.52,49.76,100.12,5081.98,36053.82,36222.65
2025-07,"Plant 4A 배양그룹",182,2638,48.27,51.59,93.75,4924.49,25469.52,27217.78
2025-07,"Plant 3 배양그룹",167,2521,48.7,51.59,96.38,4932.76,24554.62,26011.68
2025-07,"물류그룹",164,3061,36.83,41.97,88.83,5339.5,22549.67,25691.15
2025-07,"Plant 2 배양그룹",154,2260,50.31,51.6,97.81,5047.08,22738.67,23321.87
2025-07,"Plant 2 정제그룹",146,2334,50.18,49.68,101.48,5210.15,23421.7,23189.53
2025-07,"VI·PKG그룹",142,2216,39.07,46.3,82.54,4966.38,17317.58,20522.23
2025-07,"Plant Compliance그룹",104,2008,37.71,43.45,86.76,5170.47,15144.35,17449.93
2025-07,"Plant 5 정제그룹",101,2030,40.44,48.5,84.58,5051.63,16419.4,19692.42
2025-07,"Plant 4B 배양그룹",92,1396,48.61,52.11,93.81,4986.96,13572.8,14550.3
2025-07,"무균충전2그룹",91,1414,37.87,50.86,74.11,5212.45,10708.32,14383.28
2025-07,"Plant 4B 정제그룹",89,1364,52.39,51.9,101.57,5148.9,14291.75,14157
2025-07,"Plant 5 배양그룹",89,1722,46.51,48.99,97.69,5142.57,16018.63,16871.78
2025-07,"Plant 1 정제그룹",88,1335,54.35,51.3,105.93,5150.11,14512.23,13696.05
2025-07,"UT운영그룹",86,1546,42.72,47.17,92.09,5488.81,13208.53,14585.73
2025-07,"Facility Monitoring그룹",82,1325,43.63,48.93,89.69,5282.26,11562.27,12965.17
2025-07,"Plant 1 배양그룹",82,1241,47.25,51.12,91.84,5019.74,11726.6,12688.62
2025-07,"MFG QA 1그룹",76,1328,46.6,47.27,100.25,5220.33,12378.25,12553.8
2025-07,"무균충전1그룹",66,1080,37.54,49.83,78.76,5299.35,8109.18,10764.08
2025-07,"미생물그룹",66,1081,46.88,50.36,93.57,5189.73,10135.2,10888.62
2025-07,"QC샘플관리그룹",65,1093,45.53,50.23,90.14,5207.04,9953.33,10979.78
2025-07,"P4 MSAT그룹",57,1113,39.5,43.39,93.59,5381.13,8792.4,9657.62
2025-07,"P1/2 MSAT그룹",56,1074,43.18,44.05,99.72,5486.31,9274.73,9461.63
2025-07,"공정설비그룹",55,1067,40.75,45.3,90.69,5488.28,8695.25,9666.38
2025-07,"sP정제그룹",51,853,44.33,47.5,95.28,5138.34,7563.2,8103.93
2025-07,"P5 MSAT그룹",49,983,26.3,45.03,62.31,5472.84,5170.17,8853.43
2025-07,"분석개발그룹",48,953,44.45,45.95,98.55,5298.74,8471.6,8757.62
2025-07,"원자재그룹",48,907,41.01,42.77,97.28,5373.21,7438.4,7758.63
2025-07,"IPC그룹",45,731,50.16,50.96,99.45,5364.43,7333.22,7450.68
2025-07,"UT보전그룹",45,904,36.76,45.2,83.58,5586.28,6645.65,8172.12
2025-07,"sP배양그룹",45,779,44.87,48.85,92.82,5081.26,6991.1,7610.97
2025-07,"Automation그룹",43,833,42.94,44.89,102.5,5610.08,7153.2,7479.02
2025-07,"DI Governance그룹",41,712,41.26,45.94,90.33,5291.43,5875,6541.62
2025-07,"자재구매그룹",39,750,42.91,43.68,103.73,6054,6436.07,6552.15
2025-07,"안전그룹",38,684,41.18,47.62,87.35,5584.5,5633.77,6514.87
